date,value
2015-01-23,9.7250
2015-01-26,9.8300
2015-01-27,9.7350
2015-01-28,9.7050
2015-01-29,9.6850
2015-01-30,9.6100
2015-02-02,9.5900
2015-02-03,9.8700
2015-02-04,9.7200
2015-02-05,9.8150
2015-02-06,9.7300
2015-02-09,9.7800
2015-02-10,9.6900
2015-02-11,9.7750
2015-02-12,9.8350
2015-02-13,9.9000
2015-02-17,10.0750
2015-02-18,9.9550
2015-02-19,10.0750
2015-02-20,9.9950
2015-02-23,9.9950
2015-02-24,10.1650
2015-02-25,10.0870
2015-02-26,10.2520
2015-02-27,10.3130
2015-03-02,10.1350
2015-03-03,10.1250
2015-03-04,9.9400
2015-03-05,9.8500
2015-03-06,9.8500
2015-03-09,9.9350
2015-03-10,9.8400
2015-03-11,9.9250
2015-03-12,9.9050
2015-03-13,9.7400
2015-03-16,9.6925
2015-03-17,9.5450
2015-03-18,9.6500
2015-03-19,9.6175
2015-03-20,9.7375
2015-03-23,9.8350
2015-03-24,9.8175
2015-03-25,9.7875
2015-03-26,9.7450
2015-03-27,9.6725
2015-03-30,9.6775
2015-03-31,9.7325
2015-04-01,9.8975
2015-04-02,9.8600
2015-04-06,9.7850
2015-04-07,9.7100
2015-04-08,9.7150
2015-04-09,9.5350
2015-04-10,9.5150
2015-04-13,9.4875
2015-04-14,9.6025
2015-04-15,9.6500
2015-04-16,9.6600
2015-04-17,9.6875
2015-04-20,9.7750
2015-04-21,9.7525
2015-04-22,9.7050
2015-04-23,9.7825
2015-04-24,9.6975
2015-04-27,9.7300
2015-04-28,9.7740
2015-04-29,9.8820
2015-04-30,9.7650
2015-05-01,9.6475
2015-05-04,9.7625
2015-05-05,9.8475
2015-05-06,9.8250
2015-05-07,9.7500
2015-05-08,9.7625
2015-05-11,9.7400
2015-05-12,9.5550
2015-05-13,9.5725
2015-05-14,9.5700
2015-05-15,9.5325
2015-05-18,9.5450
2015-05-19,9.4625
2015-05-20,9.4125
2015-05-21,9.3850
2015-05-22,9.2425
2015-05-26,9.2250
2015-05-27,9.2700
2015-05-28,9.2600
2015-05-29,9.3400
2015-06-01,9.2600
2015-06-02,9.4075
2015-06-03,9.3525
2015-06-04,9.4650
2015-06-05,9.3775
2015-06-08,9.4425
2015-06-09,9.5150
2015-06-10,9.4950
2015-06-11,9.4000
2015-06-12,9.4000
2015-06-15,9.3775
2015-06-16,9.5750
2015-06-17,9.6900
2015-06-18,9.7775
2015-06-19,9.7150
2015-06-22,9.8950
2015-06-23,9.8750
2015-06-24,9.8175
2015-06-25,9.9760
2015-06-26,10.0030
2015-06-29,9.9770
2015-06-30,10.5085
2015-07-01,10.4075
2015-07-02,10.3825
2015-07-06,10.2225
2015-07-07,9.9200
2015-07-08,9.9675
2015-07-09,10.2625
2015-07-10,10.3200
2015-07-13,10.3750
2015-07-14,10.3350
2015-07-15,10.2500
2015-07-16,10.1900
2015-07-17,10.1475
2015-07-20,10.0775
2015-07-21,10.1875
2015-07-22,10.2075
2015-07-23,10.1000
2015-07-24,9.9125
